,Education,JoiningYear,City,PaymentTier,Age,Gender,EverBenched,ExperienceInCurrentDomain
1336,Bachelors,2014,Bangalore,3,25,Male,No,3
2921,Bachelors,2013,Pune,2,28,Female,No,4
640,Bachelors,2018,Bangalore,3,26,Male,No,4
930,Bachelors,2012,Bangalore,3,28,Male,No,3
4609,Bachelors,2014,Pune,1,22,Female,No,0
4347,Bachelors,2014,Pune,3,38,Male,No,2
742,Masters,2014,New Delhi,3,27,Male,No,5
637,Bachelors,2015,Bangalore,1,25,Female,Yes,3
3910,Bachelors,2013,Bangalore,3,31,Female,No,1
3574,Bachelors,2013,Bangalore,3,34,Male,No,5
3850,Masters,2015,Bangalore,3,31,Male,No,1
3036,Masters,2017,New Delhi,2,36,Male,No,5
2714,Bachelors,2012,Bangalore,3,27,Female,No,5
3133,Bachelors,2014,Pune,2,35,Male,No,2
1097,Bachelors,2013,New Delhi,3,27,Female,No,5
2589,Bachelors,2012,Bangalore,3,26,Female,No,4
48,Masters,2017,New Delhi,2,34,Male,No,0
2189,Bachelors,2014,New Delhi,3,29,Female,No,1
2691,Bachelors,2017,New Delhi,2,28,Female,No,1
3201,Masters,2017,New Delhi,3,38,Female,No,2
3455,Bachelors,2015,New Delhi,3,32,Female,No,2
921,Bachelors,2015,Pune,3,28,Male,No,1
546,Bachelors,2015,Pune,2,27,Female,Yes,5
3195,Masters,2017,New Delhi,2,31,Male,No,1
3650,Bachelors,2015,Bangalore,3,40,Male,No,5
2028,Bachelors,2015,Pune,2,30,Female,Yes,1
1885,Bachelors,2012,Bangalore,3,24,Male,Yes,2
1642,Bachelors,2013,New Delhi,3,26,Male,No,4
3065,Bachelors,2016,Pune,3,33,Male,No,3
4476,Bachelors,2015,Bangalore,3,29,Female,No,1
4022,Bachelors,2016,Pune,2,36,Female,No,0
3182,Masters,2015,Bangalore,3,32,Female,No,2
4186,Bachelors,2014,New Delhi,3,29,Female,No,2
4622,Bachelors,2017,Pune,1,30,Male,No,4
836,Bachelors,2014,Bangalore,3,27,Male,No,5
601,Bachelors,2013,Bangalore,3,25,Male,No,3
3362,Bachelors,2018,Pune,3,37,Male,No,5
1582,Bachelors,2017,Bangalore,3,28,Male,No,1
4232,Bachelors,2015,New Delhi,3,33,Female,No,5
4021,Bachelors,2017,New Delhi,2,22,Female,No,0
2399,Bachelors,2012,Bangalore,3,28,Male,No,1
1070,Bachelors,2017,New Delhi,3,24,Male,No,2
1775,Bachelors,2014,Bangalore,3,27,Male,No,5
4475,Bachelors,2014,New Delhi,2,25,Female,No,3
1283,Bachelors,2012,Pune,3,24,Male,No,2
2668,Bachelors,2013,Pune,2,30,Male,No,1
4648,Bachelors,2013,Bangalore,3,26,Female,No,4
3958,Masters,2016,New Delhi,3,41,Female,No,4
3656,Bachelors,2017,Bangalore,3,37,Male,No,4
4031,Masters,2017,Bangalore,3,38,Male,No,2
3914,PHD,2017,Pune,3,41,Male,No,2
1326,PHD,2017,New Delhi,3,27,Female,No,5
475,Bachelors,2015,Pune,2,26,Female,No,4
3011,Bachelors,2018,Bangalore,3,32,Female,No,3
1651,Bachelors,2016,Bangalore,3,26,Male,No,4
3479,Bachelors,2014,Bangalore,3,39,Male,No,5
3881,Bachelors,2017,Pune,2,40,Male,No,4
2297,Bachelors,2015,New Delhi,3,26,Male,No,4
3651,Bachelors,2016,Bangalore,3,38,Male,No,1
1373,Bachelors,2012,New Delhi,3,27,Male,No,5
739,Masters,2014,New Delhi,3,24,Male,No,2
3154,Masters,2015,New Delhi,3,37,Male,No,2
2155,Bachelors,2015,New Delhi,3,26,Female,No,4
867,Bachelors,2016,New Delhi,3,27,Female,No,5
1140,Masters,2017,New Delhi,2,28,Female,No,2
997,Bachelors,2016,New Delhi,3,28,Female,No,5
1337,Bachelors,2015,Bangalore,3,25,Male,No,3
4030,Bachelors,2012,Pune,2,26,Female,No,4
1099,Masters,2017,Pune,2,27,Male,No,5
1132,Bachelors,2017,Bangalore,3,24,Male,No,2
3541,Bachelors,2018,Bangalore,3,41,Male,No,5
4400,Bachelors,2017,Pune,2,22,Female,No,0
3471,Masters,2017,Pune,1,38,Male,No,0
59,Masters,2017,Pune,2,36,Male,No,2
1938,Bachelors,2016,Bangalore,3,25,Female,No,3
2269,Bachelors,2013,Bangalore,3,27,Male,No,5
4592,Bachelors,2013,New Delhi,3,28,Female,No,0
1078,Bachelors,2012,Bangalore,3,24,Male,No,2
2555,Bachelors,2015,Bangalore,3,26,Male,No,4
3653,Masters,2017,New Delhi,2,40,Male,No,4
940,Bachelors,2017,Pune,3,28,Female,No,1
1080,Bachelors,2014,Bangalore,3,25,Male,No,3
187,PHD,2015,New Delhi,3,28,Female,No,1
2318,Bachelors,2015,Bangalore,3,30,Male,No,1
2085,Masters,2017,Pune,2,27,Male,No,5
4587,Bachelors,2014,Pune,1,33,Female,No,2
2023,Masters,2013,New Delhi,2,29,Female,No,2
2525,Masters,2017,New Delhi,2,29,Male,No,2
3527,Bachelors,2017,New Delhi,3,41,Male,No,2
3957,Bachelors,2017,New Delhi,1,31,Female,No,4
226,Bachelors,2015,Pune,2,27,Female,Yes,5
2887,Bachelors,2014,Bangalore,3,26,Male,No,4
1929,Bachelors,2016,Bangalore,3,26,Male,No,4
2672,Masters,2017,New Delhi,2,29,Male,No,1
4182,Masters,2017,Pune,2,24,Male,No,2
1404,Masters,2017,New Delhi,2,26,Male,No,4
697,Masters,2017,Pune,2,26,Female,No,4
1124,Bachelors,2017,New Delhi,3,27,Female,No,5
2453,Bachelors,2015,Bangalore,3,26,Male,No,4
4606,Masters,2015,Bangalore,3,38,Female,No,1
1778,Bachelors,2015,Bangalore,3,28,Female,No,5
2503,Masters,2014,Pune,3,30,Male,No,0
1037,Masters,2014,Pune,3,26,Male,No,4
3697,Bachelors,2018,Bangalore,3,32,Male,No,3
313,Bachelors,2017,Bangalore,1,25,Male,No,3
1416,Masters,2015,Pune,3,25,Male,No,3
1036,Bachelors,2015,Bangalore,3,28,Male,No,4
3676,Bachelors,2012,Pune,3,31,Male,No,3
1754,Bachelors,2017,New Delhi,3,28,Female,No,4
3804,Bachelors,2014,Bangalore,3,35,Male,No,2
2799,Bachelors,2012,Bangalore,3,28,Male,Yes,2
4177,Bachelors,2015,Bangalore,3,26,Female,No,4
3648,Bachelors,2015,New Delhi,3,32,Female,No,2
1506,Bachelors,2013,Bangalore,3,24,Male,Yes,2
1923,Bachelors,2013,Pune,2,27,Female,No,5
4451,Bachelors,2015,New Delhi,3,26,Male,No,4
3880,Bachelors,2018,Bangalore,3,38,Male,No,1
2227,Bachelors,2017,Pune,2,30,Female,No,2
4624,Bachelors,2017,Bangalore,3,38,Male,No,3
361,Bachelors,2016,Bangalore,3,27,Male,No,5
1134,Bachelors,2014,Pune,3,27,Male,No,5
3375,Bachelors,2015,Pune,2,32,Female,No,3
1830,Bachelors,2017,Pune,3,28,Male,No,1
1053,Bachelors,2013,Bangalore,3,25,Female,No,3
22,Bachelors,2017,New Delhi,2,36,Male,No,3
2066,Bachelors,2012,Bangalore,3,26,Male,No,4
1653,Bachelors,2017,New Delhi,3,26,Female,No,4
2722,Bachelors,2017,Bangalore,3,30,Female,No,5
2801,Bachelors,2017,New Delhi,2,26,Female,No,4
4362,Masters,2015,Pune,3,31,Male,No,0
3516,Bachelors,2012,Bangalore,3,36,Male,No,1
460,Bachelors,2013,Pune,3,24,Male,No,2
1067,Bachelors,2018,Bangalore,3,26,Male,No,4
87,Masters,2015,Pune,2,32,Female,No,4
3585,Bachelors,2018,Bangalore,3,33,Male,No,5
2331,Bachelors,2018,Bangalore,3,28,Male,No,2
282,Bachelors,2015,Pune,1,25,Female,No,3
462,Bachelors,2014,Bangalore,1,25,Male,Yes,3
212,Masters,2013,Bangalore,2,28,Female,No,2
2684,Bachelors,2013,New Delhi,3,29,Female,No,2
1368,PHD,2012,Pune,3,27,Male,No,5
234,Masters,2015,Pune,2,25,Female,No,3
2905,Bachelors,2012,Bangalore,3,26,Male,No,4
597,Bachelors,2012,Bangalore,3,25,Male,No,3
4120,Bachelors,2015,Bangalore,3,30,Male,No,0
3511,Masters,2017,New Delhi,2,40,Male,No,2
662,Masters,2017,New Delhi,2,28,Male,No,2
4618,Masters,2017,New Delhi,3,38,Female,No,2
4396,Bachelors,2012,Bangalore,3,39,Female,No,3
2789,Bachelors,2013,Pune,1,30,Female,Yes,1
3256,Bachelors,2014,New Delhi,2,31,Female,No,4
779,Bachelors,2015,Pune,2,26,Female,Yes,4
4443,Bachelors,2012,Bangalore,3,23,Male,No,1
2990,Bachelors,2018,Bangalore,3,36,Male,No,2
4638,Bachelors,2013,Bangalore,3,26,Male,No,4
2792,Bachelors,2015,Pune,3,27,Male,No,5
4500,Bachelors,2013,Bangalore,3,37,Female,No,2
685,Bachelors,2016,New Delhi,3,28,Female,No,2
3198,Bachelors,2012,Bangalore,1,32,Male,No,1
2417,Bachelors,2015,Bangalore,2,27,Female,No,5
2171,Bachelors,2017,Bangalore,3,30,Male,No,1
2347,Bachelors,2017,Bangalore,3,30,Male,No,1
1850,Bachelors,2016,Pune,3,28,Female,No,2
4088,Bachelors,2016,Bangalore,3,33,Female,No,4
1688,PHD,2016,Bangalore,3,25,Male,No,3
4292,PHD,2017,New Delhi,3,34,Female,No,3
782,Bachelors,2013,Pune,2,27,Male,Yes,5
521,Masters,2015,Pune,2,24,Female,No,2
522,Masters,2014,Bangalore,3,24,Female,No,2
2487,Bachelors,2017,Bangalore,3,27,Male,No,5
3441,Bachelors,2017,New Delhi,3,40,Male,No,1
3038,Bachelors,2014,Bangalore,3,39,Male,Yes,0
3101,Bachelors,2014,Bangalore,3,33,Female,No,1
2475,Bachelors,2014,Bangalore,1,28,Male,No,1
1511,Bachelors,2012,Pune,3,25,Female,No,3
1882,Bachelors,2016,Bangalore,3,24,Male,No,2
651,Bachelors,2013,Pune,3,25,Male,No,3
2858,Bachelors,2014,Bangalore,3,29,Male,No,4
2702,Bachelors,2016,Pune,3,30,Male,No,0
369,Bachelors,2014,Bangalore,3,28,Male,No,2
2323,Bachelors,2018,Bangalore,3,28,Male,No,1
118,Bachelors,2017,Bangalore,3,26,Female,No,4
2899,Bachelors,2012,Bangalore,3,29,Male,Yes,2
2655,Bachelors,2015,Bangalore,3,30,Female,No,3
3093,Bachelors,2017,Bangalore,3,39,Female,No,1
1613,Bachelors,2014,Bangalore,3,25,Male,No,3
4007,Bachelors,2015,Bangalore,3,31,Male,No,1
962,Bachelors,2018,Bangalore,3,24,Male,No,2
2476,Bachelors,2016,Bangalore,3,28,Male,No,1
3008,Masters,2017,Bangalore,3,41,Female,No,2
2653,Bachelors,2015,Pune,3,28,Female,No,3
4335,Bachelors,2018,Bangalore,3,34,Male,Yes,5
3789,Bachelors,2016,Bangalore,3,40,Male,Yes,1
2185,Bachelors,2012,Bangalore,3,28,Male,No,2
2696,Masters,2017,Bangalore,2,30,Male,No,3
2037,Bachelors,2018,New Delhi,3,27,Female,No,5
772,Masters,2013,New Delhi,3,25,Male,Yes,3
1284,Masters,2016,New Delhi,3,25,Male,No,3
4414,Bachelors,2014,New Delhi,3,26,Female,No,4
1414,Bachelors,2015,Bangalore,3,26,Male,No,4
1234,Bachelors,2015,Pune,2,24,Female,No,2
2374,Masters,2017,New Delhi,2,30,Female,Yes,2
435,Bachelors,2015,Pune,3,26,Female,Yes,4
1674,Bachelors,2017,New Delhi,2,28,Male,No,0
365,Bachelors,2017,New Delhi,1,28,Female,No,2
2333,Bachelors,2015,Bangalore,3,29,Male,No,2
231,PHD,2015,New Delhi,2,25,Female,No,3
3520,Masters,2017,New Delhi,3,34,Female,No,2
4427,Masters,2013,New Delhi,3,33,Female,No,2
407,Bachelors,2015,Bangalore,3,28,Male,No,2
2090,Bachelors,2015,New Delhi,3,28,Female,Yes,1
86,Bachelors,2017,Pune,2,27,Female,No,5
844,Masters,2017,Pune,2,26,Male,No,4
1031,Masters,2017,Pune,2,25,Female,No,3
3340,Masters,2017,New Delhi,3,32,Male,No,2
2796,PHD,2018,New Delhi,2,30,Female,No,4
2820,Bachelors,2012,Bangalore,3,28,Male,No,2
855,Bachelors,2014,Pune,3,28,Male,No,2
78,Bachelors,2012,Bangalore,3,39,Male,No,1
2247,Bachelors,2014,Bangalore,1,27,Female,No,5
4258,Bachelors,2014,Bangalore,3,37,Male,No,5
3187,Masters,2017,New Delhi,3,32,Male,No,1
2550,Bachelors,2017,New Delhi,2,29,Male,No,3
2547,Masters,2017,New Delhi,2,30,Male,No,2
3951,Bachelors,2016,Bangalore,3,39,Female,No,4
3671,Bachelors,2016,Bangalore,3,34,Male,No,3
3366,Bachelors,2016,Bangalore,3,31,Male,No,3
2992,Bachelors,2015,Pune,3,35,Female,No,0
2176,Masters,2016,New Delhi,3,28,Female,No,2
424,Bachelors,2012,Bangalore,3,27,Male,No,5
392,Bachelors,2015,Pune,3,27,Male,No,5
4406,Bachelors,2017,New Delhi,3,26,Male,No,4
2980,Bachelors,2018,New Delhi,3,30,Female,Yes,3
104,Bachelors,2017,New Delhi,3,28,Male,No,2
2741,Bachelors,2014,Bangalore,3,28,Male,No,5
1948,Bachelors,2015,New Delhi,2,24,Female,No,2
1459,Bachelors,2017,Bangalore,3,24,Male,No,2
2843,Bachelors,2013,New Delhi,3,30,Female,No,3
2460,Bachelors,2013,Pune,3,26,Male,No,4
2676,Bachelors,2018,Bangalore,3,27,Male,Yes,5
4063,Bachelors,2013,New Delhi,3,26,Female,Yes,4
1587,Bachelors,2014,Bangalore,3,25,Male,No,3
3406,Bachelors,2013,Bangalore,3,41,Female,No,4
1731,Masters,2016,New Delhi,3,25,Female,No,3
3233,Bachelors,2014,Pune,2,36,Female,No,2
3206,Masters,2014,Bangalore,3,35,Female,No,2
1791,Bachelors,2014,Bangalore,3,26,Male,No,4
1940,Masters,2016,New Delhi,3,27,Male,No,5
702,Bachelors,2015,Bangalore,3,26,Male,No,4
3034,Bachelors,2013,Pune,3,40,Male,No,5
496,Bachelors,2016,Bangalore,3,27,Male,No,5
464,Bachelors,2017,Bangalore,3,28,Male,Yes,3
4614,Bachelors,2016,New Delhi,3,25,Female,No,3
3983,Masters,2013,New Delhi,1,41,Male,No,5
172,Masters,2015,Pune,2,28,Female,No,2
4556,PHD,2014,Bangalore,1,34,Female,No,3
3710,Bachelors,2017,Pune,2,33,Male,No,3
3971,Masters,2014,Bangalore,3,40,Female,No,7
2260,Masters,2018,Bangalore,3,26,Male,No,4
2112,Bachelors,2015,Pune,3,29,Female,No,2
900,Bachelors,2012,Pune,3,27,Male,No,5
1446,Bachelors,2018,Bangalore,3,24,Male,No,2
3119,Masters,2015,Pune,1,40,Female,No,1
741,Bachelors,2017,Bangalore,3,25,Female,No,3
2293,Bachelors,2013,New Delhi,3,27,Male,No,5
3526,Bachelors,2015,Bangalore,3,31,Female,No,4
3553,Bachelors,2015,New Delhi,3,33,Male,No,1
1206,Masters,2017,New Delhi,2,28,Male,No,4
509,Bachelors,2018,Bangalore,3,28,Male,No,2
2304,Masters,2017,New Delhi,2,30,Male,No,2
2459,Masters,2014,New Delhi,3,30,Male,Yes,2
1549,Bachelors,2012,Pune,3,24,Female,No,2
3210,Bachelors,2012,Bangalore,3,32,Female,No,1
2202,Bachelors,2015,Bangalore,3,28,Female,No,1
2044,Bachelors,2013,Bangalore,3,27,Male,No,5
767,Bachelors,2018,Bangalore,3,26,Male,No,4
4534,Bachelors,2012,Bangalore,3,24,Male,No,2
4108,Bachelors,2012,Bangalore,3,39,Male,No,3
421,Bachelors,2015,New Delhi,3,26,Male,No,4
123,Bachelors,2012,Bangalore,3,26,Male,No,4
4328,PHD,2012,Bangalore,1,38,Male,No,5
2312,Bachelors,2012,Pune,3,27,Male,Yes,5
819,Bachelors,2016,New Delhi,3,28,Male,No,1
1403,Bachelors,2013,New Delhi,3,25,Female,Yes,3
1382,Bachelors,2013,Pune,3,27,Male,No,5
2148,Bachelors,2014,Bangalore,3,26,Male,No,4
1575,Bachelors,2017,Pune,2,28,Male,No,3
1638,PHD,2018,New Delhi,3,26,Male,No,4
1795,Masters,2017,New Delhi,2,28,Female,No,3
4482,Bachelors,2014,Bangalore,3,31,Male,No,0
399,Masters,2017,New Delhi,3,26,Male,Yes,4
2310,Bachelors,2013,Pune,3,29,Male,No,2
3919,Bachelors,2015,Bangalore,3,31,Male,No,1
4627,PHD,2012,Bangalore,3,30,Female,No,4
4371,Bachelors,2016,Pune,3,27,Male,No,5
1352,Masters,2017,New Delhi,2,27,Male,No,5
3003,Bachelors,2017,New Delhi,2,32,Male,No,0
4238,Bachelors,2014,Pune,3,31,Female,No,2
2130,Bachelors,2012,Bangalore,3,26,Male,No,4
982,Bachelors,2015,Pune,3,25,Female,No,3
456,Bachelors,2015,Bangalore,3,25,Male,No,3
3083,Masters,2018,New Delhi,3,41,Male,No,2
3950,Bachelors,2014,Pune,3,33,Male,No,4
1950,Bachelors,2017,New Delhi,2,26,Male,No,4
3937,Bachelors,2017,New Delhi,3,33,Male,No,5
3779,Bachelors,2014,Bangalore,3,40,Female,No,4
641,Bachelors,2015,Pune,2,24,Female,No,2
1953,Masters,2015,Bangalore,3,27,Male,No,5
3684,Masters,2018,Pune,3,40,Male,No,2
2647,Bachelors,2013,Bangalore,3,29,Female,No,5
2915,Bachelors,2018,Bangalore,3,27,Male,No,5
4438,Bachelors,2014,Bangalore,3,36,Female,No,3
2567,Bachelors,2014,Bangalore,3,28,Male,No,5
1884,Bachelors,2013,Bangalore,3,27,Male,No,5
389,Bachelors,2014,New Delhi,2,24,Female,No,2
2727,Bachelors,2016,Bangalore,3,27,Male,No,5
3214,Bachelors,2015,Pune,2,35,Male,No,3
845,Bachelors,2014,Pune,3,27,Male,No,5
542,Masters,2017,New Delhi,2,26,Male,Yes,4
91,Bachelors,2015,New Delhi,3,22,Male,No,0
3384,Bachelors,2017,Bangalore,3,32,Male,No,2
1979,Masters,2017,Bangalore,3,28,Female,No,0
3413,Bachelors,2017,New Delhi,2,36,Male,No,3
4620,Bachelors,2015,Pune,2,38,Female,No,4
2540,Masters,2013,Pune,3,27,Female,Yes,5
1676,PHD,2017,Pune,3,27,Male,No,5
1048,Bachelors,2018,Bangalore,3,25,Male,Yes,3
1960,Bachelors,2014,Bangalore,3,24,Male,No,2
237,Masters,2017,Bangalore,2,26,Female,No,4
2594,Bachelors,2016,Pune,3,29,Male,No,5
1133,Bachelors,2013,Bangalore,3,28,Male,No,0
1805,Bachelors,2014,New Delhi,3,26,Male,No,4
3638,Bachelors,2018,Bangalore,3,38,Male,No,0
163,Bachelors,2016,Bangalore,3,25,Male,No,3
3050,Bachelors,2018,Bangalore,3,38,Male,No,2
4550,PHD,2014,Bangalore,3,23,Male,No,1
2922,Bachelors,2017,Bangalore,3,26,Male,No,4
3015,Bachelors,2014,Bangalore,3,36,Male,No,3
2936,Bachelors,2017,Bangalore,3,27,Male,No,5
3168,Bachelors,2013,Pune,3,40,Female,No,5
3428,Bachelors,2017,Bangalore,2,38,Female,No,5
1811,Bachelors,2015,Pune,2,28,Female,No,4
3942,Bachelors,2017,Pune,3,37,Female,No,0
3970,Bachelors,2014,Bangalore,3,32,Female,No,5
3442,Bachelors,2013,Bangalore,3,34,Female,No,2
2456,Bachelors,2016,Bangalore,3,26,Male,No,4
2985,Bachelors,2013,Bangalore,3,26,Male,No,4
4156,Masters,2018,New Delhi,3,30,Female,Yes,2
4332,Bachelors,2016,Pune,1,32,Male,No,2
2473,Bachelors,2015,Pune,2,26,Female,No,4
1452,Bachelors,2016,Bangalore,3,28,Female,No,5
593,Bachelors,2014,Bangalore,3,27,Male,No,5
41,Masters,2017,New Delhi,2,23,Male,No,1
560,Bachelors,2015,Pune,2,28,Female,No,3
2978,Bachelors,2012,Pune,3,26,Male,No,4
2661,Bachelors,2013,Pune,3,28,Male,No,0
243,Bachelors,2014,Bangalore,3,25,Female,No,3
1339,Bachelors,2017,Pune,2,26,Female,No,4
2442,Bachelors,2013,Bangalore,3,30,Male,Yes,1
3835,Bachelors,2014,Pune,2,36,Female,No,3
4511,Bachelors,2013,Pune,2,38,Male,No,0
1442,Bachelors,2013,Pune,3,24,Male,No,2
261,Bachelors,2016,Pune,2,27,Female,No,5
2429,Bachelors,2013,Pune,2,27,Male,No,5
1689,Bachelors,2015,Bangalore,3,25,Male,No,3
1725,Masters,2017,New Delhi,2,28,Female,No,2
3538,Bachelors,2012,Bangalore,3,39,Female,No,2
834,Bachelors,2015,Bangalore,3,26,Female,No,4
1866,Bachelors,2016,Bangalore,3,25,Female,No,3
2010,Bachelors,2014,Pune,3,30,Male,No,2
340,Bachelors,2017,Bangalore,3,26,Female,No,4
1601,Bachelors,2013,New Delhi,3,27,Female,No,5
3856,Bachelors,2017,New Delhi,2,34,Male,No,2
4374,Masters,2017,Pune,2,26,Female,No,4
480,Masters,2017,New Delhi,2,27,Male,No,5
3828,Bachelors,2015,Bangalore,3,38,Male,No,5
4321,Bachelors,2014,Pune,3,33,Male,No,3
2665,Bachelors,2017,Pune,3,30,Male,No,5
3978,Bachelors,2012,Bangalore,3,38,Male,No,7
1766,Masters,2017,New Delhi,3,28,Male,No,1
4168,Bachelors,2015,Bangalore,3,38,Female,No,5
2520,Masters,2014,Bangalore,3,30,Male,No,4
3319,Bachelors,2013,Bangalore,3,35,Male,No,5
3497,Bachelors,2017,Pune,3,37,Female,No,5
4357,Bachelors,2014,Bangalore,3,22,Male,No,0
3601,Bachelors,2015,Bangalore,3,38,Male,No,3
1271,Bachelors,2018,Pune,3,26,Male,No,4
4532,PHD,2017,New Delhi,3,29,Male,No,3
4193,Bachelors,2015,Bangalore,3,30,Male,No,2
2707,Bachelors,2017,Bangalore,3,30,Male,No,4
347,Masters,2017,Pune,2,27,Male,No,5
3500,Bachelors,2017,Bangalore,3,41,Male,No,1
4307,PHD,2018,New Delhi,3,38,Female,No,5
4277,Bachelors,2013,Bangalore,3,38,Male,No,0
1423,Bachelors,2015,Pune,3,24,Female,No,2
656,Bachelors,2018,Bangalore,1,25,Male,Yes,3
2102,Bachelors,2015,New Delhi,3,30,Female,No,2
632,Masters,2012,Pune,3,27,Male,No,5
3459,Masters,2017,New Delhi,3,35,Male,Yes,2
3192,Bachelors,2014,Pune,3,34,Male,No,0
2889,Bachelors,2016,Bangalore,3,30,Male,No,1
3257,Bachelors,2016,Pune,3,40,Male,No,4
3135,Bachelors,2017,New Delhi,2,32,Female,No,4
1465,Bachelors,2012,Bangalore,1,27,Male,No,5
2484,Bachelors,2016,Bangalore,3,26,Male,No,4
115,Bachelors,2014,Pune,1,26,Female,No,4
1821,Masters,2017,Bangalore,2,24,Female,No,2
1494,Bachelors,2017,Pune,2,26,Female,No,4
2401,Bachelors,2012,Bangalore,3,28,Female,No,1
1232,Bachelors,2013,Pune,2,26,Female,No,4
2515,Bachelors,2014,Bangalore,3,29,Male,No,0
1153,Bachelors,2015,Pune,3,24,Female,No,2
3346,Bachelors,2012,Bangalore,3,37,Male,No,3
57,Masters,2014,Pune,3,39,Female,No,2
2962,Bachelors,2018,Bangalore,3,29,Male,No,1
4576,Bachelors,2013,Pune,3,24,Male,Yes,2
4600,Bachelors,2017,New Delhi,2,31,Male,No,1
1735,Masters,2017,Pune,2,27,Female,No,5
2196,Bachelors,2014,Bangalore,1,29,Male,No,2
3102,Masters,2015,New Delhi,1,34,Male,No,5
3289,Bachelors,2012,Bangalore,3,41,Male,No,5
3381,Bachelors,2015,Bangalore,3,37,Female,No,0
707,Masters,2017,New Delhi,2,24,Male,No,2
1093,Masters,2017,Bangalore,3,26,Female,No,4
3109,Bachelors,2015,Bangalore,3,39,Female,No,0
1376,Bachelors,2015,Pune,2,24,Female,No,2
72,Bachelors,2014,Pune,3,25,Female,No,3
1922,Bachelors,2017,New Delhi,2,26,Female,No,4
2772,Bachelors,2013,Bangalore,3,30,Male,No,1
1764,Bachelors,2013,New Delhi,1,25,Female,No,3
743,Bachelors,2015,Bangalore,3,27,Female,No,5
2521,Masters,2017,New Delhi,2,27,Male,No,5
1005,Bachelors,2012,New Delhi,3,24,Female,No,2
1190,Bachelors,2018,Bangalore,3,25,Male,Yes,3
3907,Bachelors,2012,Bangalore,3,34,Male,No,1
1125,Bachelors,2012,New Delhi,3,26,Male,No,4
1241,Bachelors,2013,Pune,3,27,Male,No,5
2496,Bachelors,2012,Bangalore,1,30,Female,No,0
3618,Bachelors,2014,Bangalore,3,39,Male,No,5
3006,Bachelors,2014,Pune,3,34,Male,No,3
998,Bachelors,2015,Bangalore,3,28,Male,No,5
1577,Bachelors,2015,Bangalore,3,25,Male,No,3
4458,Bachelors,2013,Pune,1,33,Female,No,0
1826,Bachelors,2013,Pune,3,26,Male,No,4
2875,Bachelors,2017,Pune,2,29,Male,No,3
4642,Bachelors,2012,Bangalore,3,36,Female,No,4
3353,Bachelors,2012,New Delhi,3,35,Female,No,2
440,Bachelors,2017,Bangalore,3,27,Male,No,5
1100,Bachelors,2017,New Delhi,3,26,Female,No,4
4521,Bachelors,2013,Pune,2,37,Female,No,0
649,Bachelors,2017,Bangalore,3,26,Male,No,4
1546,Bachelors,2018,Pune,3,24,Male,Yes,2
3494,Bachelors,2017,Bangalore,2,32,Female,No,2
4452,Bachelors,2012,Bangalore,3,26,Male,No,4
4137,Bachelors,2012,Bangalore,3,38,Male,No,2
630,Bachelors,2015,Pune,2,28,Female,No,2
672,Masters,2017,New Delhi,2,25,Male,No,3
1249,Bachelors,2015,Pune,2,26,Female,Yes,4
482,Bachelors,2016,Pune,2,24,Female,No,2
1584,Bachelors,2014,Pune,3,26,Male,No,4
4311,Bachelors,2012,Bangalore,3,39,Male,No,3
2659,Bachelors,2016,Pune,3,27,Male,No,5
1462,Bachelors,2012,Bangalore,3,27,Male,No,5
3846,Bachelors,2014,Pune,3,33,Male,No,2
3237,Bachelors,2016,Pune,3,32,Female,No,3
49,Bachelors,2013,Bangalore,3,30,Female,No,1
3886,Bachelors,2015,Bangalore,3,38,Female,No,4
2673,Bachelors,2013,New Delhi,3,28,Female,No,3
858,Masters,2014,New Delhi,3,27,Male,No,5
1072,Bachelors,2014,Bangalore,3,24,Male,Yes,2
719,Bachelors,2016,Bangalore,3,24,Male,No,2
2759,Bachelors,2017,Pune,3,30,Female,No,1
1660,Bachelors,2018,Bangalore,3,24,Female,No,2
1656,Bachelors,2014,Bangalore,3,26,Male,No,4
2425,Bachelors,2015,Pune,3,29,Female,No,2
3078,Masters,2018,Bangalore,3,39,Male,No,3
4432,Masters,2017,Pune,3,24,Female,No,2
4628,Bachelors,2013,Bangalore,3,39,Female,No,5
3641,Bachelors,2017,Pune,3,41,Male,No,3
4221,Bachelors,2012,Bangalore,3,23,Male,No,1
4425,Bachelors,2013,Bangalore,3,23,Female,No,1
3614,Bachelors,2015,Bangalore,3,32,Female,No,4
1385,Bachelors,2015,Bangalore,3,28,Male,No,5
3334,Bachelors,2018,New Delhi,3,37,Male,No,4
1399,Bachelors,2017,Bangalore,1,28,Female,No,3
1195,Bachelors,2014,Bangalore,3,28,Male,No,4
1408,Bachelors,2012,Bangalore,1,27,Male,No,5
3326,Bachelors,2017,Pune,2,33,Female,No,2
1798,Masters,2015,Bangalore,3,27,Female,No,5
1475,Bachelors,2013,Bangalore,3,25,Male,Yes,3
2807,Bachelors,2018,Bangalore,3,28,Male,No,0
35,Bachelors,2014,Bangalore,1,30,Female,No,3
4650,Masters,2018,New Delhi,3,27,Male,No,5
2345,Masters,2018,New Delhi,3,26,Male,Yes,4
2776,Bachelors,2016,Bangalore,3,28,Male,No,3
2359,Bachelors,2015,Pune,2,30,Female,No,2
2206,Bachelors,2013,Bangalore,2,30,Female,No,1
3279,Bachelors,2017,Bangalore,3,34,Male,No,3
