,LeaveOrNot
3369,0
4061,0
1802,0
4645,0
2385,0
1959,1
2976,0
488,1
1843,1
1734,1
2911,0
3219,1
146,0
1986,0
1369,0
2811,0
659,0
1794,0
2511,0
3397,0
4282,1
1147,0
3272,0
608,1
3582,1
1930,1
197,0
2931,1
2327,0
4389,1
766,0
4218,0
3255,0
202,0
3510,0
1733,0
2777,0
1707,1
3474,0
854,0
4097,0
2160,0
698,0
4602,0
2999,0
3696,1
1636,1
3457,1
3581,0
1291,0
1853,0
3763,0
3304,1
4571,0
3743,0
3445,0
1998,0
663,0
3748,0
4413,0
709,1
1282,0
2675,0
4029,1
1306,0
2237,0
3302,0
2038,0
1529,1
1663,0
4590,1
4608,0
3627,0
2693,0
3060,0
1597,1
2729,1
2625,1
3157,0
3314,1
1722,0
1059,0
3242,1
1678,0
1757,0
4191,0
563,0
2790,0
863,0
1484,0
206,0
4488,1
870,0
4493,0
502,0
1028,1
3840,0
2690,1
1570,0
2773,0
2731,0
804,0
3645,1
2454,1
3104,0
200,1
3099,1
2278,0
3561,0
4474,0
4514,1
391,1
1495,1
2695,0
2027,0
2568,1
64,0
3884,1
2062,0
492,0
379,0
3993,0
1076,0
878,0
337,0
1016,0
1275,0
3798,0
4551,0
3342,0
995,0
1981,0
4297,0
161,0
1500,0
3843,0
2613,1
3461,0
1021,0
3073,0
3943,1
1585,1
1955,1
3152,0
34,1
4014,0
775,0
2556,1
1478,0
1363,0
2612,0
2824,1
2041,0
241,1
2061,0
2363,0
600,0
2435,1
2888,0
646,1
3890,0
3556,1
3202,0
1528,1
1267,1
1899,1
3005,1
2734,0
189,0
1806,0
975,1
2747,0
2047,0
2558,1
1082,0
474,1
2904,1
4117,1
3385,0
4555,0
1184,0
2433,1
2391,0
769,1
1685,1
130,0
2919,0
3171,0
3444,1
4426,0
466,0
3092,0
3772,0
860,1
